Persona47, 22:22:16.934372, 22:22:16.934834, 1
Persona44, 22:22:16.933403, 22:22:16.934834, 1
Persona43, 22:22:16.932697, 22:22:16.934834, 1
Persona38, 22:22:16.930758, 22:22:16.934834, 1
Persona36, 22:22:16.929949, 22:22:16.934834, 1
Persona30, 22:22:16.927800, 22:22:16.934834, 1
Persona26, 22:22:16.926380, 22:22:16.934834, 1
Persona24, 22:22:16.925426, 22:22:16.934834, 1
Persona15, 22:22:16.920557, 22:22:16.934834, 1
Persona3, 22:22:16.913930, 22:22:16.934834, 1
Persona142, 22:22:16.963742, 22:22:34.967927, 1
Persona140, 22:22:16.963201, 22:22:34.967927, 1
Persona135, 22:22:16.962211, 22:22:34.967927, 1
Persona133, 22:22:16.961657, 22:22:34.967927, 1
Persona132, 22:22:16.961183, 22:22:34.967927, 1
Persona126, 22:22:16.959096, 22:22:34.967927, 1
Persona117, 22:22:16.957110, 22:22:34.967927, 1
Persona105, 22:22:16.954298, 22:22:34.967927, 1
Persona99, 22:22:16.952567, 22:22:34.967927, 1
Persona98, 22:22:16.951991, 22:22:34.967927, 1
Persona257, 22:22:34.991940, 22:22:52.999207, 1
Persona252, 22:22:34.991337, 22:22:52.999207, 1
Persona244, 22:22:34.990273, 22:22:52.999207, 1
Persona223, 22:22:34.989371, 22:22:52.999207, 1
Persona219, 22:22:34.988082, 22:22:52.999207, 1
Persona210, 22:22:34.984998, 22:22:52.999207, 1
Persona209, 22:22:34.982050, 22:22:52.999207, 1
Persona197, 22:22:34.979213, 22:22:52.999207, 1
Persona171, 22:22:34.973454, 22:22:52.999207, 1
Persona158, 22:22:34.971677, 22:22:52.999207, 1
Persona375, 22:22:53.021001, 22:23:11.037501, 1
Persona374, 22:22:53.019145, 22:23:11.037501, 1
Persona359, 22:22:53.015815, 22:23:11.037501, 1
Persona320, 22:22:53.013675, 22:23:11.037501, 1
Persona314, 22:22:53.011666, 22:23:11.037501, 1
Persona297, 22:22:53.010866, 22:23:11.037501, 1
Persona294, 22:22:53.009509, 22:23:11.037501, 1
Persona282, 22:22:53.007846, 22:23:11.037501, 1
Persona266, 22:22:53.003019, 22:23:11.037501, 1
Persona262, 22:22:53.001215, 22:23:11.037501, 1
Persona478, 22:23:11.092514, 22:23:29.102918, 1
Persona470, 22:23:11.089144, 22:23:29.102918, 1
Persona464, 22:23:11.085295, 22:23:29.102918, 1
Persona448, 22:23:11.080876, 22:23:29.102918, 1
Persona445, 22:23:11.077355, 22:23:29.102918, 1
Persona411, 22:23:11.075917, 22:23:29.102918, 1
Persona404, 22:23:11.070765, 22:23:29.102918, 1
Persona401, 22:23:11.064095, 22:23:29.102918, 1
Persona399, 22:23:11.055477, 22:23:29.102918, 1
Persona387, 22:23:11.044604, 22:23:29.102918, 1
Persona72, 22:23:29.141555, 22:23:47.158487, 2
Persona19, 22:23:29.140250, 22:23:47.158487, 2
Persona153, 22:23:29.138187, 22:23:47.158487, 2
Persona114, 22:23:29.134530, 22:23:47.158487, 2
Persona10, 22:23:29.128793, 22:23:47.158487, 2
Persona57, 22:23:29.121810, 22:23:47.158487, 2
Persona53, 22:23:29.117985, 22:23:47.158487, 2
Persona46, 22:23:29.115717, 22:23:47.158487, 2
Persona14, 22:23:29.111489, 22:23:47.158487, 2
Persona480, 22:23:29.104446, 22:23:47.158487, 1
Persona395, 22:23:47.211361, 22:24:05.219357, 2
Persona352, 22:23:47.203378, 22:24:05.219357, 2
Persona342, 22:23:47.199052, 22:24:05.219357, 2
Persona92, 22:23:47.196865, 22:24:05.219357, 2
Persona336, 22:23:47.192124, 22:24:05.219357, 2
